Pre Week 1,data last refreshed: ,,Mon 03:10 PM,FALSE,<-hide completed games,,,FALSE,<- games in play,,PAUSE -->,FALSE,u/ryanbuckner,,,,<-- refresh manually,,
Mon 03:10 PM,Date,Time,Away Team,Away,Home Team,Home,Away Score,Home Score,Qtr,Clock,Situation,Pos,Score,Total Points,O/U,Odds,Broadcast,A,H
Pre Week 1,Thu 08/08/2024,7:00 PM,Panthers,CAR,Patriots,NE,3,17,F,0:00,game over,,CAR 3 NE 17 (F),20,35.5,NE -6.5,NFL Net,,
Pre Week 1,Thu 08/08/2024,7:00 PM,Lions,DET,Giants,NYG,3,14,F,0:00,game over,,DET 3 NYG 14 (F),17,35.5,NYG -3.5,Fox 5 New York,,
Pre Week 1,Fri 08/09/2024,7:00 PM,Falcons,ATL,Dolphins,MIA,13,20,F,0:00,game over,,ATL 13 MIA 20 (F),33,38.5,ATL -2.5,NFL+,,
Pre Week 1,Fri 08/09/2024,7:00 PM,Texans,HOU,Steelers,PIT,20,12,F,0:00,game over,,HOU 20 PIT 12 (F),32,38.5,HOU -3,NFL Net,,
Pre Week 1,Fri 08/09/2024,7:30 PM,Eagles,PHI,Ravens,BAL,16,13,F,0:00,game over,,PHI 16 BAL 13 (F),29,35.5,PHI -1.5,NFL+,,
Pre Week 1,Sat 08/10/2024,12:00 PM,Commanders,WSH,Jets,NYJ,17,20,F,0:00,game over,,WSH 17 NYJ 20 (F),37,34.5,WSH -3,NFL+,,
Pre Week 1,Sat 08/10/2024,1:00 PM,Bears,CHI,Bills,BUF,33,6,F,0:00,game over,,CHI 33 BUF 6 (F),39,37.5,BUF -3,NFL Net,,
Pre Week 1,Sat 08/10/2024,4:00 PM,Raiders,LV,Vikings,MIN,23,24,F,0:00,game over,,LV 23 MIN 24 (F),47,39.5,LV -3,NFL Net,,
Pre Week 1,Sat 08/10/2024,4:25 PM,Packers,GB,Browns,CLE,23,10,F,0:00,game over,,GB 23 CLE 10 (F),33,39.5,CLE -4.5,NFL+,,
Pre Week 1,Sat 08/10/2024,7:00 PM,Buccaneers,TB,Bengals,CIN,17,14,F,0:00,game over,,TB 17 CIN 14 (F),31,38.5,CIN -5.5,NFL+,,
Pre Week 1,Sat 08/10/2024,7:00 PM,49ers,SF,Titans,TEN,13,17,F,0:00,game over,,SF 13 TEN 17 (F),30,38.5,TEN -5.5,NFL+,,
Pre Week 1,Sat 08/10/2024,7:00 PM,Chiefs,KC,Jaguars,JAX,13,26,F,0:00,game over,,KC 13 JAX 26 (F),39,40.5,JAX -2.5,NFL Net,,
Pre Week 1,Sat 08/10/2024,7:05 PM,Seahawks,SEA,Chargers,LAC,16,3,F,0:00,game over,,SEA 16 LAC 3 (F),19,33.5,SEA -3,NFL+,,
Pre Week 1,Sat 08/10/2024,8:00 PM,Saints,NO,Cardinals,ARI,16,14,F,0:00,game over,,NO 16 ARI 14 (F),30,38.5,NO -2.5,NFL+,,
Pre Week 1,Sun 08/11/2024,1:00 PM,Broncos,DEN,Colts,IND,34,30,F,0:00,game over,,DEN 34 IND 30 (F),64,38.5,IND -1.5,NFL Net,,
Pre Week 1,Sun 08/11/2024,4:30 PM,Cowboys,DAL,Rams,LAR,12,13,F,0:00,game over,,DAL 12 LAR 13 (F),25,34.5,DAL -5.5,NFL Net,,
